text,translation
Amahoro,Paix / Bonjour
Mwaramutse,Bonjour (matin)
Mwiriwe,Bonsoir
Ijoro ryiza,Bonne nuit
Urakoze,Merci
Urakoze cyane,Merci beaucoup
Mwiriwe mwiza,Bon après-midi
Ndashaka kugura ibishyimbo,Je veux acheter des haricots
Aho uri?,Où es-tu?
Ndagukunda,Je t'aime
Uzaze ejo?,Viendras-tu demain?
Iki ni iki?,Qu'est-ce que c'est?
"Yego, ndabizi","Oui, je sais"
"Oya, ntabizi","Non, je ne sais pas"
Tugende,Allons-y
Reba aha,Regarde ici
Ni byiza,C'est bien
Si byiza,Ce n'est pas bien
Ejo hazoba hari,Demain il y aura
Ubu ndi hano,Maintenant je suis ici
Urafite iki?,Qu'as-tu?
Nzagukora ibyo,Je vais te faire ça
Turakoze,Merci (pluriel)
Ndi mwiza,Je vais bien
Ndabona,Je vois
Tugiye gusoma,Nous allons lire
Uyu munsi ni mwiza,Aujourd'hui est une belle journée
Dufite ibiryo byinshi,Nous avons beaucoup de nourriture
Abana barakunda gukina,Les enfants aiment jouer
Inama ni ingenzi,La réunion est importante
Ndashaka amazi,Je veux de l'eau